Date,Code,Open,High,Low,Close,Volume
2020-08-20,USDJPY,106.062,106.217,105.746,105.803,0
2020-08-21,USDJPY,105.803,106.07,105.447,105.823,0
2020-08-24,USDJPY,105.763,106.0025,105.69,105.981,0
2020-08-25,USDJPY,105.981,106.578,105.878,106.398,0
2020-08-26,USDJPY,106.399,106.557,105.957,106.012,0
2020-08-27,USDJPY,106.006,106.701,105.611,106.545,0
2020-08-28,USDJPY,106.551,106.945,105.203,105.376,0
2020-08-31,USDJPY,105.437,106.096,105.298,105.889,0
2020-09-01,USDJPY,105.896,106.154,105.597,105.947,0
2020-09-02,USDJPY,105.947,106.3015,105.855,106.1735,0
2020-09-03,USDJPY,106.1735,106.55,106.003,106.157,0
2020-09-04,USDJPY,106.1575,106.5,106.0575,106.229,0
2020-09-07,USDJPY,106.254,106.385,106.135,106.282,0
2020-09-08,USDJPY,106.291,106.382,105.862,105.952,0
2020-09-09,USDJPY,105.951,106.274,105.799,106.197,0
2020-09-10,USDJPY,106.192,106.297,105.985,106.15,0
2020-09-11,USDJPY,106.142,106.257,106.0595,106.0845,0
2020-09-14,USDJPY,106.11,106.166,105.551,105.714,0
2020-09-15,USDJPY,105.714,105.815,105.303,105.431,0
2020-09-16,USDJPY,105.426,105.437,104.8075,104.952,0
2020-09-17,USDJPY,104.951,105.171,104.529,104.77,0
2020-09-18,USDJPY,104.77,104.871,104.274,104.593,0
2020-09-21,USDJPY,104.535,104.839,104.003,104.677,0
2020-09-22,USDJPY,104.671,105.074,104.408,104.936,0
2020-09-23,USDJPY,104.931,105.488,104.929,105.346,0
2020-09-24,USDJPY,105.346,105.528,105.207,105.415,0
2020-09-25,USDJPY,105.41,105.7,105.243,105.611,0
2020-09-28,USDJPY,105.657,105.6645,105.265,105.5185,0
2020-09-29,USDJPY,105.5185,105.734,105.3435,105.656,0
2020-09-30,USDJPY,105.6445,105.8045,105.407,105.439,0
2020-10-01,USDJPY,105.439,105.728,105.406,105.555,0
2020-10-02,USDJPY,105.555,105.667,104.945,105.3855,0
2020-10-05,USDJPY,105.501,105.7965,105.407,105.733,0
2020-10-06,USDJPY,105.734,105.7845,105.474,105.629,0
2020-10-07,USDJPY,105.626,106.108,105.608,106.0,0
2020-10-08,USDJPY,106.001,106.101,105.926,106.024,0
2020-10-09,USDJPY,106.024,106.04,105.583,105.607,0
2020-10-12,USDJPY,105.747,105.747,105.243,105.32,0
2020-10-13,USDJPY,105.325,105.628,105.286,105.497,0
2020-10-14,USDJPY,105.485,105.515,105.0375,105.1165,0
2020-10-15,USDJPY,105.1145,105.4945,105.1115,105.4155,0
2020-10-16,USDJPY,105.4155,105.441,105.197,105.395,0
2020-10-19,USDJPY,105.384,105.503,105.303,105.438,0
2020-10-20,USDJPY,105.438,105.747,105.422,105.473,0
2020-10-21,USDJPY,105.473,105.525,104.3415,104.5645,0
2020-10-22,USDJPY,104.5645,104.923,104.477,104.855,0
2020-10-23,USDJPY,104.862,104.937,104.552,104.707,0
2020-10-26,USDJPY,104.703,105.055,104.657,104.885,0
2020-10-27,USDJPY,104.885,104.885,104.392,104.509,0
2020-10-28,USDJPY,104.509,104.557,104.115,104.302,0
2020-10-29,USDJPY,104.302,104.728,104.028,104.623,0
2020-10-30,USDJPY,104.622,104.743,104.128,104.672,0
2020-11-02,USDJPY,104.641,104.949,104.564,104.753,0
2020-11-03,USDJPY,104.754,104.801,104.439,104.606,0
2020-11-04,USDJPY,104.603,105.343,104.153,104.514,0
2020-11-05,USDJPY,104.508,104.509,103.445,103.622,0
2020-11-06,USDJPY,103.593,103.76,103.179,103.298,0
2020-11-09,USDJPY,103.285,105.643,103.226,105.257,0
2020-11-10,USDJPY,105.284,105.488,104.822,105.261,0
2020-11-11,USDJPY,105.263,105.677,105.008,105.422,0
2020-11-12,USDJPY,105.423,105.479,105.072,105.129,0
2020-11-13,USDJPY,105.131,105.148,104.564,104.633,0
2020-11-16,USDJPY,104.663,105.131,104.364,104.585,0
2020-11-17,USDJPY,104.585,104.585,104.072,104.193,0
2020-11-18,USDJPY,104.192,104.197,103.653,103.832,0
2020-11-19,USDJPY,103.822,104.2165,103.72,103.7835,0
2020-11-20,USDJPY,103.7845,103.9105,103.705,103.822,0
2020-11-23,USDJPY,103.822,104.637,103.685,104.499,0
2020-11-24,USDJPY,104.5,104.761,104.153,104.481,0
2020-11-25,USDJPY,104.481,104.599,104.26,104.4525,0
2020-11-26,USDJPY,104.4525,104.4555,104.22,104.266,0
2020-11-27,USDJPY,104.266,104.271,103.911,104.0565,0
2020-11-30,USDJPY,104.069,104.41,103.838,104.349,0
2020-12-01,USDJPY,104.349,104.579,104.185,104.321,0
2020-12-02,USDJPY,104.3215,104.75,104.2265,104.428,0
2020-12-03,USDJPY,104.429,104.535,103.676,103.864,0
2020-12-04,USDJPY,103.864,104.244,103.742,104.173,0
2020-12-07,USDJPY,104.188,104.313,103.923,104.047,0
2020-12-08,USDJPY,104.041,104.206,103.957,104.159,0
2020-12-09,USDJPY,104.159,104.406,104.056,104.288,0
2020-12-10,USDJPY,104.286,104.579,104.175,104.24,0
2020-12-11,USDJPY,104.24,104.27,103.825,104.038,0
2020-12-14,USDJPY,103.947,104.102,103.513,104.026,0
2020-12-15,USDJPY,104.024,104.151,103.608,103.685,0
2020-12-16,USDJPY,103.678,103.917,103.263,103.449,0
2020-12-17,USDJPY,103.448,103.561,102.8805,103.1125,0
2020-12-18,USDJPY,103.1145,103.595,103.1075,103.3175,0
2020-12-21,USDJPY,103.391,103.889,103.256,103.341,0
2020-12-22,USDJPY,103.337,103.733,103.282,103.624,0
2020-12-23,USDJPY,103.627,103.653,103.362,103.544,0
2020-12-24,USDJPY,103.545,103.764,103.505,103.6875,0
2020-12-28,USDJPY,103.569,103.899,103.406,103.776,0
2020-12-29,USDJPY,103.775,103.806,103.465,103.554,0
2020-12-30,USDJPY,103.554,103.584,102.962,103.215,0
2020-12-31,USDJPY,103.22,103.3085,102.997,103.2885,0
2021-01-04,USDJPY,103.219,103.316,102.714,103.127,0
2021-01-05,USDJPY,103.127,103.19,102.607,102.718,0
2021-01-06,USDJPY,102.712,103.444,102.598,103.068,0
2021-01-07,USDJPY,103.068,103.957,102.955,103.848,0
2021-01-08,USDJPY,103.849,104.09,103.61,103.958,0
2021-01-11,USDJPY,103.939,104.398,103.919,104.218,0
2021-01-12,USDJPY,104.217,104.333,103.723,103.783,0
2021-01-13,USDJPY,103.774,103.994,103.527,103.87,0
2021-01-14,USDJPY,103.871,104.198,103.565,103.824,0
2021-01-15,USDJPY,103.824,103.895,103.619,103.89,0
2021-01-18,USDJPY,103.843,103.931,103.639,103.698,0
2021-01-19,USDJPY,103.698,104.085,103.654,103.917,0
2021-01-20,USDJPY,103.92,103.927,103.453,103.575,0
2021-01-21,USDJPY,103.568,103.668,103.33,103.508,0
2021-01-22,USDJPY,103.5105,103.885,103.4865,103.826,0
2021-01-25,USDJPY,103.82,103.938,103.675,103.769,0
2021-01-26,USDJPY,103.769,103.828,103.556,103.64,0
2021-01-27,USDJPY,103.638,104.201,103.589,104.075,0
2021-01-28,USDJPY,104.074,104.462,104.074,104.229,0
2021-01-29,USDJPY,104.229,104.939,104.225,104.751,0
2021-02-01,USDJPY,104.805,105.035,104.615,104.951,0
2021-02-02,USDJPY,104.95,105.174,104.83,105.003,0
2021-02-03,USDJPY,105.017,105.104,104.925,105.036,0
2021-02-04,USDJPY,105.036,105.566,104.976,105.527,0
2021-02-05,USDJPY,105.527,105.767,105.336,105.393,0
2021-02-08,USDJPY,105.399,105.672,105.152,105.238,0
2021-02-09,USDJPY,105.241,105.264,104.503,104.564,0
2021-02-10,USDJPY,104.564,104.841,104.414,104.617,0
2021-02-11,USDJPY,104.6165,104.805,104.553,104.753,0
2021-02-12,USDJPY,104.752,105.18,104.737,104.969,0
2021-02-15,USDJPY,104.979,105.419,104.947,105.3525,0
2021-02-16,USDJPY,105.3535,106.11,105.196,106.106,0
2021-02-17,USDJPY,106.101,106.221,105.78,105.8805,0
2021-02-18,USDJPY,105.879,105.925,105.599,105.692,0
2021-02-19,USDJPY,105.694,105.741,105.241,105.461,0
2021-02-22,USDJPY,105.505,105.841,104.985,105.067,0
2021-02-23,USDJPY,105.065,105.427,104.923,105.245,0
2021-02-24,USDJPY,105.247,106.106,105.198,105.872,0
2021-02-25,USDJPY,105.874,106.398,105.846,106.246,0
2021-02-26,USDJPY,106.25,106.6925,105.853,106.598,0
2021-03-01,USDJPY,106.553,106.889,106.367,106.776,0
2021-03-02,USDJPY,106.776,106.957,106.679,106.704,0
2021-03-03,USDJPY,106.703,107.153,106.7,107.009,0
2021-03-04,USDJPY,107.007,107.997,106.969,107.977,0
2021-03-05,USDJPY,107.976,108.636,107.821,108.351,0
2021-03-08,USDJPY,108.382,108.943,108.31,108.93,0
2021-03-09,USDJPY,108.924,109.233,108.417,108.522,0
2021-03-10,USDJPY,108.523,108.919,108.341,108.429,0
2021-03-11,USDJPY,108.429,108.813,108.358,108.532,0
2021-03-12,USDJPY,108.532,109.165,108.517,109.009,0
2021-03-15,USDJPY,109.085,109.359,108.916,109.148,0
2021-03-16,USDJPY,109.141,109.285,108.772,108.998,0
2021-03-17,USDJPY,108.998,109.326,108.705,108.857,0
2021-03-18,USDJPY,108.857,109.302,108.638,108.969,0
2021-03-19,USDJPY,108.969,109.125,108.611,108.88,0
2021-03-22,USDJPY,108.883,108.955,108.619,108.806,0
2021-03-23,USDJPY,108.806,108.873,108.408,108.622,0
2021-03-24,USDJPY,108.623,108.956,108.453,108.752,0
2021-03-25,USDJPY,108.751,109.237,108.731,109.164,0
2021-03-26,USDJPY,109.168,109.848,109.134,109.655,0
2021-03-29,USDJPY,109.714,109.8455,109.3735,109.8205,0
2021-03-30,USDJPY,109.8195,110.428,109.7595,110.3605,0
2021-03-31,USDJPY,110.3605,110.958,110.2765,110.731,0
2021-04-01,USDJPY,110.731,110.845,110.546,110.595,0
2021-04-05,USDJPY,110.678,110.749,109.963,110.152,0
2021-04-06,USDJPY,110.15,110.552,109.671,109.78,0
2021-04-07,USDJPY,109.78,109.942,109.582,109.845,0
2021-04-08,USDJPY,109.843,109.9,109.002,109.27,0
2021-04-09,USDJPY,109.27,109.959,109.218,109.648,0
2021-04-12,USDJPY,109.711,109.768,109.249,109.389,0
2021-04-13,USDJPY,109.389,109.753,109.02,109.054,0
2021-04-14,USDJPY,109.061,109.095,108.754,108.939,0
2021-04-15,USDJPY,108.939,108.9645,108.615,108.744,0
2021-04-16,USDJPY,108.744,108.966,108.615,108.783,0
2021-04-19,USDJPY,108.772,108.837,108.011,108.154,0
2021-04-20,USDJPY,108.154,108.543,107.979,108.081,0
2021-04-21,USDJPY,108.084,108.282,107.878,108.07,0
2021-04-22,USDJPY,108.066,108.229,107.822,107.96,0
2021-04-23,USDJPY,107.96,108.143,107.481,107.892,0
2021-04-26,USDJPY,107.949,108.197,107.646,108.095,0
2021-04-27,USDJPY,108.094,108.775,108.093,108.722,0
2021-04-28,USDJPY,108.709,109.076,108.562,108.603,0
2021-04-29,USDJPY,108.6,109.222,108.437,108.939,0
2021-04-30,USDJPY,108.938,109.342,108.715,109.293,0
2021-05-03,USDJPY,109.292,109.698,108.8945,109.063,0
2021-05-04,USDJPY,109.0645,109.488,109.0305,109.316,0
2021-05-05,USDJPY,109.315,109.472,109.148,109.202,0
2021-05-06,USDJPY,109.202,109.428,109.002,109.089,0
2021-05-07,USDJPY,109.085,109.289,108.336,108.604,0
2021-05-10,USDJPY,108.626,109.054,108.469,108.853,0
2021-05-11,USDJPY,108.854,108.982,108.35,108.615,0
2021-05-12,USDJPY,108.613,109.71,108.611,109.671,0
2021-05-13,USDJPY,109.669,109.785,109.4065,109.4545,0
2021-05-14,USDJPY,109.4545,109.6535,109.21,109.35,0
2021-05-17,USDJPY,109.281,109.502,109.076,109.21,0
2021-05-18,USDJPY,109.21,109.285,108.839,108.899,0
2021-05-19,USDJPY,108.899,109.337,108.573,109.193,0
2021-05-20,USDJPY,109.193,109.305,108.752,108.778,0
2021-05-21,USDJPY,108.777,109.002,108.613,108.902,0
2021-05-24,USDJPY,108.92,108.996,108.697,108.765,0
2021-05-25,USDJPY,108.769,109.066,108.566,108.7695,0
2021-05-26,USDJPY,108.77,109.177,108.7245,109.135,0
2021-05-27,USDJPY,109.132,109.924,109.038,109.823,0
2021-05-28,USDJPY,109.846,110.2,109.746,109.834,0
2021-05-31,USDJPY,109.841,109.937,109.355,109.582,0
2021-06-01,USDJPY,109.582,109.707,109.331,109.471,0
2021-06-02,USDJPY,109.472,109.884,109.455,109.563,0
2021-06-03,USDJPY,109.564,110.3225,109.554,110.299,0
2021-06-04,USDJPY,110.2975,110.3305,109.367,109.488,0
2021-06-07,USDJPY,109.514,109.637,109.192,109.256,0
2021-06-08,USDJPY,109.257,109.557,109.199,109.496,0
2021-06-09,USDJPY,109.486,109.657,109.226,109.625,0
2021-06-10,USDJPY,109.631,109.793,109.308,109.35,0
2021-06-11,USDJPY,109.35,109.8415,109.318,109.6565,0
2021-06-14,USDJPY,109.648,110.099,109.613,110.075,0
2021-06-15,USDJPY,110.076,110.168,109.988,110.053,0
2021-06-16,USDJPY,110.053,110.74,109.807,110.651,0
2021-06-17,USDJPY,110.65,110.821,110.167,110.261,0
2021-06-18,USDJPY,110.253,110.4845,109.9445,110.1585,0
